winner,by.runs,key,by.wickets,result
Dubai Capitals,73.0,ilt00001,,
MI Emirates,49.0,ilt00002,,
Desert Vipers,,ilt00003,7.0,
Gulf Giants,,ilt00004,6.0,
Gulf Giants,,ilt00005,6.0,
MI Emirates,,ilt00006,6.0,
Desert Vipers,,ilt00007,7.0,
Gulf Giants,101.0,ilt00008,,
Desert Vipers,111.0,ilt00009,,
Sharjah Warriors,,ilt00010,7.0,
MI Emirates,,ilt00011,5.0,
Dubai Capitals,16.0,ilt00012,,
Gulf Giants,,ilt00013,5.0,
Sharjah Warriors,21.0,ilt00014,,
Desert Vipers,,ilt00015,7.0,
,,ilt00016,,no result
Sharjah Warriors,,ilt00017,4.0,
Desert Vipers,12.0,ilt00018,,
MI Emirates,157.0,ilt00019,,
Dubai Capitals,,ilt00020,7.0,
Desert Vipers,22.0,ilt00021,,
Gulf Giants,,ilt00022,5.0,
Desert Vipers,22.0,ilt00023,,
MI Emirates,18.0,ilt00024,,
Gulf Giants,25.0,ilt00025,,
Abu Dhabi Knight Riders,,ilt00026,5.0,
Dubai Capitals,,ilt00027,7.0,
Gulf Giants,,ilt00028,7.0,
Desert Vipers,19.0,ilt00029,,
MI Emirates,,ilt00030,8.0,
Gulf Giants,,ilt00031,4.0,
Gulf Giants,,ilt00032,7.0,
Gulf Giants,31.0,ilt00033,,
Dubai Capitals,,ilt00034,7.0,
Abu Dhabi Knight Riders,,ilt00035,6.0,
MI Emirates,18.0,ilt00036,,
Sharjah Warriors,,ilt00037,5.0,
MI Emirates,,ilt00038,9.0,
Desert Vipers,,ilt00039,6.0,
Dubai Capitals,,ilt00040,5.0,
MI Emirates,106.0,ilt00041,,
Abu Dhabi Knight Riders,,ilt00042,6.0,
Gulf Giants,,ilt00043,3.0,
MI Emirates,,ilt00044,8.0,
Sharjah Warriors,7.0,ilt00045,,
Sharjah Warriors,,ilt00046,9.0,
Desert Vipers,,ilt00047,2.0,
Abu Dhabi Knight Riders,,ilt00048,6.0,
Dubai Capitals,,ilt00049,4.0,
MI Emirates,,ilt00050,8.0,
Abu Dhabi Knight Riders,29.0,ilt00051,,
Desert Vipers,,ilt00052,6.0,
MI Emirates,30.0,ilt00053,,
Gulf Giants,79.0,ilt00054,,
Abu Dhabi Knight Riders,,ilt00055,7.0,
Gulf Giants,19.0,ilt00056,,
Sharjah Warriors,,ilt00057,7.0,
Gulf Giants,5.0,ilt00058,,
Dubai Capitals,,ilt00059,5.0,
Gulf Giants,3.0,ilt00060,,
Dubai Capitals,19.0,ilt00061,,
Desert Vipers,,ilt00062,6.0,
Dubai Capitals,85.0,ilt00063,,
MI Emirates,45.0,ilt00064,,
Dubai Capitals,,ilt00065,9.0,
MI Emirates,45.0,ilt00066,,
Dubai Capitals,1.0,ilt00067,,
Desert Vipers,,ilt00068,7.0,
Sharjah Warriorz,,ilt00069,3.0,
MI Emirates,26.0,ilt00070,,
Desert Vipers,,ilt00071,6.0,
Abu Dhabi Knight Riders,30.0,ilt00072,,
Desert Vipers,,ilt00073,5.0,
Sharjah Warriorz,,ilt00074,5.0,
Desert Vipers,53.0,ilt00075,,
Gulf Giants,,ilt00076,6.0,
MI Emirates,,ilt00077,9.0,
Abu Dhabi Knight Riders,37.0,ilt00078,,
